"original","short","category"
"I enjoy listening to music.","Music","Music"
"I prefer.","Slow songs or fast songs","Music"
"Dance, Disco, Funk","Dance","Music"
"Folk music","Folk","Music"
"Country","Country","Music"
"Classical","Classical music","Music"
"Musicals","Musical","Music"
"Pop","Pop","Music"
"Rock","Rock","Music"
"Metal, Hard rock","Metal or Hardrock","Music"
"Punk","Punk","Music"
"Hip hop, Rap","Hiphop, Rap","Music"
"Reggae, Ska","Reggae, Ska","Music"
"Swing, Jazz","Swing, Jazz","Music"
"Rock n Roll","Rock n roll","Music"
"Alternative music","Alternative","Music"
"Latin","Latino","Music"
"Techno, Trance","Techno, Trance","Music"
"Opera","Opera","Music"
"I really enjoy watching movies.","Movies","Movie"
"Horror movies","Horror","Movie"
"Thriller movies","Thriller","Movie"
"Comedies","Comedy","Movie"
"Romantic movies","Romantic","Movie"
"Sci-fi movies","Sci-fi","Movie"
"War movies","War","Movie"
"Tales","Fantasy/Fairy tales","Movie"
"Cartoons","Animated","Movie"
"Documentaries","Documentary","Movie"
"Western movies","Western","Movie"
"Action movies","Action","Movie"
"History","History","Hobbies"
"Psychology","Psychology","Hobbies"
"Politics","Politics","Hobbies"
"Mathematics","Mathematics","Hobbies"
"Physics","Physics","Hobbies"
"Internet","Internet","Hobbies"
"PC Software, Hardware","PC","Hobbies"
"Economy, Management","Economy Management","Hobbies"
"Biology","Biology","Hobbies"
"Chemistry","Chemistry","Hobbies"
"Poetry reading","Reading","Hobbies"
"Geography","Geography","Hobbies"
"Foreign languages","Foreign languages","Hobbies"
"Medicine","Medicine","Hobbies"
"Law","Law","Hobbies"
"Cars","Cars","Hobbies"
"Art","Art exhibitions","Hobbies"
"Religion","Religion","Hobbies"
"Outdoor activities","Countryside, outdoors","Hobbies"
"Dancing","Dancing","Hobbies"
"Playing musical instruments","Musical instruments","Hobbies"
"Poetry writing","Writing","Hobbies"
"Sport and leisure activities","Passive sport","Hobbies"
"Sport at competitive level","Active sport","Hobbies"
"Gardening","Gardening","Hobbies"
"Celebrity lifestyle","Celebrities","Hobbies"
"Shopping","Shopping","Hobbies"
"Science and technology","Science and technology","Hobbies"
"Theatre","Theatre","Hobbies"
"Socializing","Fun with friends","Hobbies"
"Adrenaline sports","Adrenaline sports","Hobbies"
"Pets","Pets","Hobbies"
"Flying","Flying","Phobias"
"Thunder, lightning","Storm","Phobias"
"Darkness","Darkness","Phobias"
"Heights","Heights","Phobias"
"Spiders","Spiders","Phobias"
"Snakes","Snakes","Phobias"
"Rats, mice","Rats","Phobias"
"Ageing","Ageing","Phobias"
"Dangerous dogs","Dangerous dogs","Phobias"
"Public speaking","Fear of public speaking","Phobias"
"Smoking habits","Smoking","Health"
"Drinking","Alcohol","Health"
"I live a very healthy lifestyle.","Healthy eating","Health"
"I take notice of what goes on around me.","Daily events","Personal"
"I try to do tasks as soon as possible and not leave them until last minute.","Prioritising workload","Personal"
"I always make a list so I don't forget anything.","Writing notes","Personal"
"I often study or work even in my spare time.","Workaholism","Personal"
"I look at things from all different angles before I go ahead.","Thinking ahead","Personal"
"I believe that bad people will suffer one day and good people will be rewarded.","Final judgement","Personal"
"I am reliable at work and always complete all tasks given to me.","Reliability","Personal"
"I always keep my promises.","Keeping promises","Personal"
"I can fall for someone very quickly and then completely lose interest.","Loss of interest","Personal"
"I would rather have lots of friends than lots of money.","Friends versus money","Personal"
"I always try to be the funniest one.","Funniness","Personal"
"I can be two faced sometimes.","Fake","Personal"
"I damaged things in the past when angry.","Criminal damage","Personal"
"I take my time to make decisions.","Decision making","Personal"
"I always try to vote in elections.","Elections","Personal"
"I often think about and regret the decisions I make.","Self-criticism","Personal"
"I can tell if people listen to me or not when I talk to them.","Judgment calls","Personal"
"I am a hypochondriac.","Hypochondria","Personal"
"I am emphatetic person.","Empathy","Personal"
"I eat because I have to. I don't enjoy food and eat as fast as I can.","Eating to survive","Personal"
"I try to give as much as I can to other people at Christmas.","Giving","Personal"
"I don't like seeing animals suffering.","Compassion to animals","Personal"
"I look after things I have borrowed from others.","Borrowed stuff","Personal"
"I feel lonely in life.","Loneliness","Personal"
"I used to cheat at school.","Cheating in school","Personal"
"I worry about my health.","Health","Personal"
"I wish I could change the past because of the things I have done.","Changing the past","Personal"
"I believe in God.","God","Personal"
"I always have good dreams.","Dreams","Personal"
"I always give to charity.","Charity","Personal"
"I have lots of friends.","Number of friends","Personal"
"Timekeeping.","Punctuality","Personal"
"Do you lie to others?","Lying","Personal"
"I am very patient.","Waiting","Personal"
"I can quickly adapt to a new environment.","New environment","Personal"
"My moods change quickly.","Mood swings","Personal"
"I am well mannered and I look after my appearance.","Appearence and gestures","Personal"
"I enjoy meeting new people.","Socializing","Personal"
"I always let other people know about my achievements.","Achievements","Personal"
